Fold,True Label,Predicted Score
1,1,[0.9358391]
1,1,[0.81654334]
1,0,[0.75151074]
1,0,[0.66658103]
1,0,[0.01085484]
1,0,[0.71990895]
1,1,[0.7808488]
1,1,[0.79201084]
1,1,[0.51739734]
1,0,[0.39928728]
1,1,[0.72802144]
1,0,[0.68152195]
1,0,[0.75855345]
1,0,[0.72222245]
1,0,[0.2842907]
1,0,[0.5984891]
1,1,[0.77212775]
1,0,[0.5888821]
1,0,[0.5356305]
1,0,[0.6874631]
1,1,[0.72456706]
1,1,[0.83676714]
1,1,[0.8247096]
1,1,[0.74553055]
1,0,[0.6168223]
1,0,[0.78321874]
1,1,[0.80315334]
1,1,[0.8206395]
1,1,[0.91239303]
2,1,[0.6351206]
2,0,[0.1794921]
2,0,[0.37068883]
2,0,[0.3383058]
2,1,[0.7400202]
2,0,[0.4380697]
2,0,[0.55235314]
2,1,[0.6144173]
2,0,[0.33622426]
2,0,[0.19490778]
2,0,[0.26814464]
2,0,[0.04585122]
2,0,[0.4692221]
2,1,[0.37662104]
2,0,[0.6938126]
2,1,[0.7875899]
2,1,[0.7952789]
2,1,[0.7256622]
2,1,[0.6600378]
2,0,[0.4405864]
2,0,[0.45718098]
2,0,[0.75456876]
2,1,[0.7854016]
2,1,[0.753525]
2,1,[0.7803811]
2,1,[0.76128703]
2,1,[0.7761599]
2,1,[0.8245087]
3,1,[0.62963194]
3,1,[0.7699863]
3,0,[0.545334]
3,0,[0.50157696]
3,1,[0.6298422]
3,0,[0.5708958]
3,0,[0.1744318]
3,1,[0.7883956]
3,0,[0.4473807]
3,0,[0.46190202]
3,1,[0.70745325]
3,0,[0.42108253]
3,0,[0.6902139]
3,0,[0.40351838]
3,1,[0.68810636]
3,0,[0.6718274]
3,0,[0.57901657]
3,0,[0.7141714]
3,1,[0.7092365]
3,1,[0.7785006]
3,0,[0.6085726]
3,0,[0.49028078]
3,0,[0.69683623]
3,1,[0.75164944]
3,1,[0.76335365]
3,1,[0.7700167]
3,1,[0.79773515]
3,1,[0.75289345]
4,1,[0.70128626]
4,0,[0.60807043]
4,0,[0.5419041]
4,0,[0.37357637]
4,0,[0.65648156]
4,1,[0.882457]
4,0,[0.39052606]
4,1,[0.7882195]
4,0,[0.5780842]
4,1,[0.8254414]
4,1,[0.78199387]
4,0,[0.6036829]
4,1,[0.7932773]
4,1,[0.6540186]
4,0,[0.4925165]
4,0,[0.7390301]
4,0,[0.68164253]
4,0,[0.58166087]
4,1,[0.7474346]
4,0,[0.75455254]
4,0,[0.75118923]
4,0,[0.6672542]
4,1,[0.8416125]
4,1,[0.7951691]
4,0,[0.736282]
4,1,[0.7899141]
4,1,[0.72631663]
4,1,[0.726225]
5,1,[0.71117836]
5,0,[0.7224339]
5,0,[0.9088877]
5,0,[0.7090781]
5,0,[0.5660565]
5,1,[0.7174344]
5,1,[0.77803844]
5,0,[0.9635119]
5,1,[0.551745]
5,0,[0.57380223]
5,1,[0.72442484]
5,0,[0.64577436]
5,0,[0.42828512]
5,0,[0.6919739]
5,0,[0.4831951]
5,0,[0.59269]
5,1,[0.44961128]
5,1,[0.75652087]
5,0,[0.5800476]
5,1,[0.74946654]
5,0,[0.64877254]
5,0,[0.7252454]
5,0,[0.6754474]
5,1,[0.72740096]
5,1,[0.7754161]
5,1,[0.775094]
5,1,[0.8165215]
5,1,[0.7334688]
